,Initial_Richness,Target_Trait_Composition,Controller_Success,Confidence_Interval_95
0,0.0,0.2,1.0,0.0
1,0.0,0.4,1.0,0.0
2,0.0,0.6,1.0,0.0
3,0.0,0.8,0.4,0.15104635050208925
4,1.0,0.2,0.94,0.03274606846630601
5,1.0,0.4,0.98,0.019304015126392755
6,1.0,0.6,0.96,0.027019992598074496
7,1.0,0.8,0.4,0.0675499814951862
8,2.0,0.2,0.88,0.03168374977808024
9,2.0,0.4,0.94,0.023154967069723947
10,2.0,0.6,0.91,0.027902721641445655
11,2.0,0.8,0.37,0.047073420047835914
12,3.0,0.2,0.83,0.03662419794343626
13,3.0,0.4,0.71,0.044241800087699866
14,3.0,0.6,0.77,0.041031169554376586
15,3.0,0.8,0.33,0.04584573998748411
16,4.0,0.2,0.8,0.055154328932550706
17,4.0,0.4,0.52,0.06888773475735721
18,4.0,0.6,0.58,0.06805472062979907
19,4.0,0.8,0.3,0.06318722180947663
20,5.0,0.2,0.8,0.12332882874656678
21,5.0,0.4,0.4,0.15104635050208925
22,5.0,0.6,0.4,0.15104635050208925
23,5.0,0.8,0.3,0.141290923275347
