,Initial_Richness,Target_Trait_Composition,Controller_Success,Confidence_Interval_95
0,0.0,0.2,0.9,0.0924966215599251
1,0.0,0.4,0.9,0.0924966215599251
2,0.0,0.6,0.8,0.12332882874656678
3,0.0,0.8,0.8,0.12332882874656678
4,1.0,0.2,0.7142857142857143,0.05264505159771379
5,1.0,0.4,0.34285714285714286,0.05531489500423413
6,1.0,0.6,0.6142857142857143,0.05672489041346686
7,1.0,0.8,0.5428571428571428,0.058052956622335374
8,2.0,0.2,0.6476190476190476,0.03214111862267417
9,2.0,0.4,0.3523809523809524,0.03214111862267417
10,2.0,0.6,0.6238095238095238,0.03259303980800413
11,2.0,0.8,0.5428571428571428,0.033516890133159
12,3.0,0.2,0.618421052631579,0.027164527763756496
13,3.0,0.4,0.36908517350157727,0.026425526631676056
14,3.0,0.6,0.6566666666666666,0.02672849213230456
15,3.0,0.8,0.5266666666666666,0.028105767498267445
16,4.0,0.2,0.5730337078651685,0.02951452952279321
17,4.0,0.4,0.3772893772893773,0.02860248181646393
18,4.0,0.6,0.6666666666666666,0.029668305198196496
19,4.0,0.8,0.5515873015873016,0.030545724216805355
20,5.0,0.2,0.568,0.043198199962498435
21,5.0,0.4,0.3898305084745763,0.04377506189264117
22,5.0,0.6,0.6576576576576577,0.04391100488715471
23,5.0,0.8,0.5675675675675675,0.04584701246441287
24,6.0,0.2,0.6774193548387096,0.08185999660809865
25,6.0,0.4,0.45454545454545453,0.10350497325783885
26,6.0,0.6,0.5769230769230769,0.09446840131045854
27,6.0,0.8,0.56,0.09679545443872867
28,7.0,0.2,1.0,0.0
29,7.0,0.4,0.5,0.34471455582844196
30,7.0,0.6,0.5,0.34471455582844196
31,7.0,0.8,0.5,0.34471455582844196
